image_path,image_type,class
0,Scan,Viburnum opulus
1,Scan,Crataegus monogyna
10,Scan,Rhamnus cathartica
100,Scan,Platanus x hispanica
1000,Scan,Platanus x hispanica
10000,Scan,Crataegus monogyna
10002,Scan,Ulmus minor
10003,Scan,Paliurus spina-christi
10004,Scan,Prunus serotina
10005,Scan,Buxus sempervirens
10006,pseudoscan,Ilex aquifolium
10007,pseudoscan,Fraxinus angustifolia
10009,Scan,Ginkgo biloba
1001,Scan,Pistacia terebinthus
10010,photograph,Celtis australis
10011,Scan,Quercus rubra
10012,photograph,Ginkgo biloba
10013,Scan,Olea europaea
10014,pseudoscan,Fagus sylvatica
10015,Scan,Olea europaea
10016,photograph,Fraxinus ornus
10017,Scan,Quercus coccifera
10018,photograph,Mespilus germanica
1002,Scan,Daphne cneorum
10020,pseudoscan,Populus alba
10021,Scan,Acer monspessulanum
10022,Scan,Alnus cordata
10024,pseudoscan,Syringa vulgaris
10026,Scan,Euphorbia characias
10027,Scan,Frangula dodonei
10028,Scan,Buxus sempervirens
10029,photograph,Ginkgo biloba
1003,Scan,Cercis siliquastrum
10030,pseudoscan,Daphne cneorum
10031,Scan,Robinia pseudoacacia
10032,pseudoscan,Juglans nigra
10033,Scan,Crataegus monogyna
10034,pseudoscan,Robinia pseudoacacia
10035,Scan,Diospyros kaki
10037,pseudoscan,Acer opalus
10039,Scan,Liriodendron tulipifera
1004,Scan,Quercus petraea
10040,pseudoscan,Buxus sempervirens
10041,Scan,Acer monspessulanum
10042,Scan,Ficus carica
10043,pseudoscan,Ulmus minor
10044,Scan,Hedera helix
10045,Scan,Ginkgo biloba
10046,Scan,Cotinus coggygria
10047,pseudoscan,Arbutus unedo
10048,photograph,Pittosporum tobira
1005,photograph,Pistacia lentiscus
10051,Scan,Pistacia lentiscus
10052,Scan,Olea europaea
10053,photograph,Acer pseudoplatanus
10054,Scan,Prunus serotina
10055,photograph,Celtis australis
10058,photograph,Quercus pubescens
1006,Scan,Pittosporum tenuifolium
10060,Scan,Crataegus monogyna
10061,Scan,Paliurus spina-christi
10062,Scan,Juglans nigra
10064,Scan,Mespilus germanica
10065,photograph,Cercis siliquastrum
10066,photograph,Crataegus monogyna
10067,photograph,Pistacia lentiscus
10068,Scan,Syringa vulgaris
10069,Scan,Buxus sempervirens
1007,Scan,Robinia pseudoacacia
10071,pseudoscan,Populus nigra
10073,pseudoscan,Nerium oleander
10074,photograph,Pistacia lentiscus
10075,Scan,Ulmus minor
10076,Scan,Crataegus monogyna
10077,Scan,Olea europaea
10078,pseudoscan,Ulmus minor
1008,Scan,Quercus ilex
10080,pseudoscan,Euphorbia characias
10081,pseudoscan,Phillyrea angustifolia
10082,Scan,Robinia pseudoacacia
10084,Scan,Corylus avellana
10086,pseudoscan,Viburnum opulus
10087,photograph,Arbutus unedo
10090,Scan,Laurus nobilis
10091,Scan,Fraxinus angustifolia
10092,Scan,Nerium oleander
10094,Scan,Prunus padus
10095,photograph,Hedera helix
10096,Scan,Buddleja davidii
10097,Scan,Cotinus coggygria
101,Scan,Ficus carica
1010,photograph,Cornus mas
10100,pseudoscan,Eriobotrya japonica
10101,photograph,Quercus ilex
10102,pseudoscan,Ulmus minor
10103,Scan,Cercis siliquastrum
10104,photograph,Crataegus monogyna
10105,pseudoscan,Ulmus minor
10106,Scan,Corylus avellana
10107,pseudoscan,Diospyros kaki
10108,Scan,Aesculus hippocastanum
10110,Scan,Viburnum tinus
10111,Scan,Acer opalus
10112,pseudoscan,Rhus coriaria
10113,pseudoscan,Rhus coriaria
10114,photograph,Arbutus unedo
10116,Scan,Magnolia grandiflora
10117,Scan,Acer monspessulanum
10118,Scan,Quercus coccifera
1012,photograph,Quercus ilex
10120,Scan,Crataegus azarolus
10121,photograph,Corylus avellana
10122,Scan,Cercis siliquastrum
10123,Scan,Viburnum opulus
10124,photograph,Quercus coccifera
10126,Scan,Pistacia lentiscus
10127,Scan,Crataegus monogyna
10129,Scan,Acer campestre
1013,Scan,Cercis siliquastrum
10131,Scan,Populus nigra
10132,Scan,Broussonetia papyrifera
10133,pseudoscan,Viburnum opulus
10134,photograph,Cornus sanguinea
10135,pseudoscan,Quercus pubescens
10136,photograph,Ulmus minor
10139,Scan,Viburnum tinus
10141,Scan,Olea europaea
10142,Scan,Acer monspessulanum
10143,Scan,Platanus x hispanica
10144,pseudoscan,Morus alba
10146,pseudoscan,Euphorbia characias
10148,photograph,Robinia pseudoacacia
10149,pseudoscan,Ruscus aculeatus
1015,pseudoscan,Pistacia lentiscus
10150,Scan,Laburnum anagyroides
10151,Scan,Fraxinus angustifolia
10152,photograph,Crataegus monogyna
10153,photograph,Cotinus coggygria
10154,Scan,Ulmus minor
10155,Scan,Laburnum anagyroides
10156,pseudoscan,Ulmus minor
10157,Scan,Alnus cordata
10158,photograph,Vitex agnus-castus
10159,Scan,Robinia pseudoacacia
1016,photograph,Nerium oleander
10160,Scan,Ruscus aculeatus
10161,Scan,Pistacia lentiscus
10163,Scan,Robinia pseudoacacia
10166,photograph,Ficus carica
10167,Scan,Quercus petraea
10168,Scan,Nerium oleander
10169,Scan,Buxus sempervirens
1017,photograph,Fraxinus angustifolia
10170,photograph,Crataegus azarolus
10171,Scan,Pistacia lentiscus
10172,pseudoscan,Quercus ilex
10173,pseudoscan,Acer campestre
10174,Scan,Viburnum lantana
10175,Scan,Populus nigra
10176,Scan,Acer negundo
10177,photograph,Nerium oleander
10178,Scan,Capparis spinosa
1018,pseudoscan,Ginkgo biloba
10180,photograph,Arbutus unedo
10181,Scan,Crataegus monogyna
10183,pseudoscan,Rhus coriaria
10184,photograph,Robinia pseudoacacia
10186,Scan,Hedera helix
10187,pseudoscan,Euphorbia characias
10188,Scan,Buxus sempervirens
10189,Scan,Viburnum tinus
1019,pseudoscan,Acer platanoides
10190,photograph,Acer campestre
10191,Scan,Viburnum tinus
10192,Scan,Platanus x hispanica
10193,photograph,Cotinus coggygria
10194,pseudoscan,Carpinus betulus
10195,Scan,Celtis australis
10196,Scan,Acer platanoides
10197,Scan,Buxus sempervirens
10199,Scan,Paliurus spina-christi
102,Scan,Ficus carica
1020,pseudoscan,Sorbus aria
10200,Scan,Sorbus domestica
10201,photograph,Acer platanoides
10202,Scan,Ruscus aculeatus
10203,Scan,Phillyrea angustifolia
10204,Scan,Quercus ilex
10205,pseudoscan,Quercus pubescens
10206,photograph,Viburnum tinus
10208,Scan,Juniperus oxycedrus
10209,photograph,Quercus pubescens
1021,Scan,Viburnum opulus
10210,Scan,Olea europaea
10211,photograph,Quercus ilex
10212,photograph,Pittosporum tobira
10213,Scan,Pistacia lentiscus
10215,Scan,Sophora japonica
10217,photograph,Vitex agnus-castus
10219,pseudoscan,Acer negundo
1022,photograph,Broussonetia papyrifera
10220,Scan,Acer negundo
10221,Scan,Prunus serotina
10223,pseudoscan,Prunus dulcis
10225,photograph,Broussonetia papyrifera
10226,pseudoscan,Rhus typhina
10227,photograph,Crataegus monogyna
10228,Scan,Fraxinus angustifolia
10229,photograph,Cotinus coggygria
1023,Scan,Viburnum lantana
10230,Scan,Gleditsia triacanthos
10231,Scan,Hedera helix
10232,pseudoscan,Punica granatum
10235,Scan,Pistacia lentiscus
10236,pseudoscan,Pittosporum tenuifolium
10237,pseudoscan,Liquidambar styraciflua
10238,pseudoscan,Pistacia lentiscus
10239,Scan,Euphorbia characias
10241,pseudoscan,Ruscus aculeatus
10242,Scan,Rhamnus alaternus
10243,pseudoscan,Melia azedarach
10244,pseudoscan,Acer monspessulanum
10246,photograph,Nerium oleander
10247,photograph,Quercus pubescens
10248,Scan,Viburnum tinus
10249,Scan,Daphne cneorum
1025,Scan,Buxus sempervirens
10250,photograph,Fraxinus angustifolia
10251,Scan,Ruscus aculeatus
10252,photograph,Platanus x hispanica
10254,Scan,Pistacia terebinthus
10257,pseudoscan,Ulmus minor
10258,Scan,Nerium oleander
10259,Scan,Platanus x hispanica
1026,Scan,Nerium oleander
10260,pseudoscan,Rhus coriaria
10261,photograph,Crataegus monogyna
10263,Scan,Cornus sanguinea
10264,Scan,Olea europaea
10265,Scan,Acer campestre
10266,pseudoscan,Ulmus minor
10267,Scan,Mespilus germanica
10269,Scan,Nerium oleander
1027,pseudoscan,Ginkgo biloba
10270,Scan,Prunus spinosa
10271,photograph,Broussonetia papyrifera
10272,Scan,Photinia serrulata
10273,photograph,Broussonetia papyrifera
10274,photograph,Ilex aquifolium
10275,Scan,Quercus ilex
10277,pseudoscan,Ailanthus altissima
10278,pseudoscan,Acer campestre
10279,photograph,Fraxinus angustifolia
1028,photograph,Aesculus hippocastanum
10282,photograph,Prunus serrulata
10283,Scan,Magnolia grandiflora
10284,Scan,Buxus sempervirens
10287,photograph,Ginkgo biloba
10288,photograph,Cercis siliquastrum
10289,Scan,Acer monspessulanum
1029,pseudoscan,Morus alba
10290,Scan,Salix alba
10291,Scan,Olea europaea
10294,Scan,Buxus sempervirens
10295,Scan,Buxus sempervirens
10296,Scan,Cotinus coggygria
10298,Scan,Populus alba
10299,Scan,Paliurus spina-christi
1030,Scan,Prunus spinosa
10300,Scan,Euphorbia characias
10301,Scan,Fraxinus angustifolia
10302,photograph,Eriobotrya japonica
10303,Scan,Quercus coccifera
10304,photograph,Ilex aquifolium
10305,pseudoscan,Acer monspessulanum
10306,pseudoscan,Populus alba
10307,Scan,Paliurus spina-christi
10308,Scan,Acer negundo
10309,pseudoscan,Ulmus minor
1031,Scan,Ruscus aculeatus
10310,pseudoscan,Daphne cneorum
10312,Scan,Phillyrea angustifolia
10313,Scan,Olea europaea
10316,Scan,Populus nigra
10317,photograph,Cotinus coggygria
10318,pseudoscan,Populus alba
10319,Scan,Viburnum tinus
1032,Scan,Fraxinus angustifolia
10320,pseudoscan,Ginkgo biloba
10321,Scan,Populus nigra
10322,photograph,Crataegus monogyna
10324,Scan,Acer monspessulanum
10325,photograph,Magnolia grandiflora
10326,photograph,Magnolia grandiflora
10327,photograph,Pistacia lentiscus
10328,Scan,Diospyros kaki
10329,Scan,Buxus sempervirens
1033,Scan,Nerium oleander
10330,pseudoscan,Ailanthus altissima
10332,pseudoscan,Punica granatum
10334,Scan,Ulmus minor
10336,photograph,Albizia julibrissin
10337,pseudoscan,Morus alba
10338,Scan,Fraxinus angustifolia
10339,Scan,Punica granatum
1034,photograph,Crataegus azarolus
10341,Scan,Quercus ilex
10342,Scan,Rhus coriaria
10343,pseudoscan,Acer campestre
10344,photograph,Hedera helix
10345,Scan,Nerium oleander
10346,pseudoscan,Buxus sempervirens
10349,photograph,Laurus nobilis
10350,pseudoscan,Capparis spinosa
10351,photograph,Broussonetia papyrifera
10352,Scan,Pistacia terebinthus
10353,Scan,Aesculus hippocastanum
10354,Scan,Ulmus minor
10355,Scan,Prunus serotina
10356,Scan,Sophora japonica
10357,Scan,Aesculus hippocastanum
10359,Scan,Fagus sylvatica
1036,pseudoscan,Diospyros kaki
10360,photograph,Pittosporum tobira
10361,Scan,Prunus serotina
10362,pseudoscan,Ulmus minor
10363,photograph,Broussonetia papyrifera
10364,pseudoscan,Alnus glutinosa
10365,pseudoscan,Ulmus minor
10366,pseudoscan,Betula pendula
10368,pseudoscan,Diospyros kaki
10369,Scan,Hedera helix
10370,pseudoscan,Rhus typhina
10371,Scan,Rhamnus alaternus
10373,pseudoscan,Melia azedarach
10374,Scan,Sorbus domestica
10375,Scan,Crataegus monogyna
10376,pseudoscan,Cotinus coggygria
10377,photograph,Acer platanoides
10378,Scan,Quercus pubescens
10379,Scan,Viburnum lantana
1038,photograph,Quercus ilex
10380,Scan,Carpinus betulus
10381,pseudoscan,Cotinus coggygria
10382,pseudoscan,Buxus sempervirens
10384,Scan,Laburnum anagyroides
10385,Scan,Betula pendula
10386,Scan,Nerium oleander
10387,Scan,Pittosporum tobira
10388,Scan,Ruscus aculeatus
10389,Scan,Quercus pubescens
1039,Scan,Crataegus monogyna
10390,Scan,Hedera helix
10391,Scan,Punica granatum
10392,Scan,Sambucus nigra
10393,Scan,Hedera helix
10394,pseudoscan,Ulmus minor
10395,Scan,Buxus sempervirens
10396,Scan,Paliurus spina-christi
10397,Scan,Olea europaea
1040,pseudoscan,Rhus typhina
10400,Scan,Viburnum tinus
10401,photograph,Pittosporum tobira
10403,pseudoscan,Celtis australis
10405,Scan,Crataegus azarolus
10407,photograph,Sambucus nigra
10408,Scan,Viburnum lantana
10409,Scan,Daphne cneorum
1041,Scan,Crataegus azarolus
10410,Scan,Nerium oleander
10411,Scan,Hedera helix
10412,Scan,Fraxinus angustifolia
10413,Scan,Carpinus betulus
10414,pseudoscan,Diospyros kaki
10415,pseudoscan,Ulmus minor
10416,Scan,Ulmus minor
10417,Scan,Acer campestre
10418,Scan,Punica granatum
10419,Scan,Celtis australis
10420,Scan,Fagus sylvatica
