Ulmus minor
Phillyrea angustifolia
Buxus sempervirens
Quercus ilex
Olea europaea
Viburnum tinus
Pittosporum tobira
Hedera helix
Ruscus aculeatus
Celtis australis
Cercis siliquastrum
Populus nigra
Nerium oleander
Euphorbia characias
Corylus avellana
Pistacia lentiscus
Acer campestre
Rhus coriaria
Acer monspessulanum
Cotinus coggygria
Crataegus monogyna
Juniperus oxycedrus
Ginkgo biloba
Daphne cneorum
Populus alba
Platanus x hispanica
Arbutus unedo
Fraxinus angustifolia
Robinia pseudoacacia
Laurus nobilis
Diospyros kaki
Punica granatum
