image_path,image_type,class
imageclef2012/FourniApresCLEF2012/data/testwithgroundtruthxml\10001.jpg,Scan,Morus nigra
imageclef2012/FourniApresCLEF2012/data/testwithgroundtruthxml\10008.jpg,Scan,Arbutus unedo
imageclef2012/FourniApresCLEF2012/data/testwithgroundtruthxml\10019.jpg,Scan,Fraxinus angustifolia
imageclef2012/FourniApresCLEF2012/data/testwithgroundtruthxml\10023.jpg,Scan,Buddleja davidii
imageclef2012/FourniApresCLEF2012/data/testwithgroundtruthxml\10025.jpg,Scan,Celtis australis
imageclef2012/FourniApresCLEF2012/data/testwithgroundtruthxml\10036.jpg,pseudoscan,Vitex agnus-castus
imageclef2012/FourniApresCLEF2012/data/testwithgroundtruthxml\10038.jpg,pseudoscan,Olea europaea
imageclef2012/FourniApresCLEF2012/data/testwithgroundtruthxml\10049.jpg,Scan,Laburnum anagyroides
imageclef2012/FourniApresCLEF2012/data/testwithgroundtruthxml\10050.jpg,Scan,Quercus petraea
imageclef2012/FourniApresCLEF2012/data/testwithgroundtruthxml\10056.jpg,pseudoscan,Phillyrea angustifolia
imageclef2012/FourniApresCLEF2012/data/testwithgroundtruthxml\10057.jpg,Scan,Arbutus unedo
imageclef2012/FourniApresCLEF2012/data/testwithgroundtruthxml\10059.jpg,Scan,Phillyrea angustifolia
imageclef2012/FourniApresCLEF2012/data/testwithgroundtruthxml\10063.jpg,photograph,Acer pseudoplatanus
imageclef2012/FourniApresCLEF2012/data/testwithgroundtruthxml\10070.jpg,Scan,Fraxinus angustifolia
imageclef2012/FourniApresCLEF2012/data/testwithgroundtruthxml\10072.jpg,Scan,Alnus cordata
imageclef2012/FourniApresCLEF2012/data/testwithgroundtruthxml\10079.jpg,pseudoscan,Photinia serrulata
imageclef2012/FourniApresCLEF2012/data/testwithgroundtruthxml\10083.jpg,pseudoscan,Magnolia grandiflora
imageclef2012/FourniApresCLEF2012/data/testwithgroundtruthxml\10085.jpg,Scan,Robinia pseudoacacia
imageclef2012/FourniApresCLEF2012/data/testwithgroundtruthxml\10088.jpg,Scan,Olea europaea
imageclef2012/FourniApresCLEF2012/data/testwithgroundtruthxml\10089.jpg,photograph,Viburnum lantana
imageclef2012/FourniApresCLEF2012/data/testwithgroundtruthxml\1009.jpg,Scan,Prunus laurocerasus
imageclef2012/FourniApresCLEF2012/data/testwithgroundtruthxml\10093.jpg,Scan,Celtis australis
imageclef2012/FourniApresCLEF2012/data/testwithgroundtruthxml\10098.jpg,Scan,Corylus avellana
imageclef2012/FourniApresCLEF2012/data/testwithgroundtruthxml\10099.jpg,Scan,Phillyrea angustifolia
imageclef2012/FourniApresCLEF2012/data/testwithgroundtruthxml\10109.jpg,Scan,Celtis australis
imageclef2012/FourniApresCLEF2012/data/testwithgroundtruthxml\1011.jpg,Scan,Ilex aquifolium
imageclef2012/FourniApresCLEF2012/data/testwithgroundtruthxml\10115.jpg,Scan,Populus tremula
imageclef2012/FourniApresCLEF2012/data/testwithgroundtruthxml\10119.jpg,Scan,Alnus cordata
imageclef2012/FourniApresCLEF2012/data/testwithgroundtruthxml\10125.jpg,Scan,Ligustrum vulgare
imageclef2012/FourniApresCLEF2012/data/testwithgroundtruthxml\10128.jpg,Scan,Morus nigra
imageclef2012/FourniApresCLEF2012/data/testwithgroundtruthxml\10130.jpg,Scan,Phillyrea angustifolia
imageclef2012/FourniApresCLEF2012/data/testwithgroundtruthxml\10137.jpg,photograph,Nerium oleander
imageclef2012/FourniApresCLEF2012/data/testwithgroundtruthxml\10138.jpg,Scan,Crataegus monogyna
imageclef2012/FourniApresCLEF2012/data/testwithgroundtruthxml\1014.jpg,photograph,Robinia pseudoacacia
imageclef2012/FourniApresCLEF2012/data/testwithgroundtruthxml\10140.jpg,photograph,Tilia cordata
imageclef2012/FourniApresCLEF2012/data/testwithgroundtruthxml\10145.jpg,pseudoscan,Magnolia grandiflora
imageclef2012/FourniApresCLEF2012/data/testwithgroundtruthxml\10147.jpg,pseudoscan,Diospyros kaki
imageclef2012/FourniApresCLEF2012/data/testwithgroundtruthxml\10162.jpg,Scan,Tilia cordata
imageclef2012/FourniApresCLEF2012/data/testwithgroundtruthxml\10164.jpg,Scan,Castanea sativa
imageclef2012/FourniApresCLEF2012/data/testwithgroundtruthxml\10165.jpg,Scan,Morus alba
imageclef2012/FourniApresCLEF2012/data/testwithgroundtruthxml\10179.jpg,Scan,Quercus petraea
imageclef2012/FourniApresCLEF2012/data/testwithgroundtruthxml\10182.jpg,Scan,Cercis siliquastrum
imageclef2012/FourniApresCLEF2012/data/testwithgroundtruthxml\10185.jpg,photograph,Ilex aquifolium
imageclef2012/FourniApresCLEF2012/data/testwithgroundtruthxml\10198.jpg,Scan,Acer negundo
imageclef2012/FourniApresCLEF2012/data/testwithgroundtruthxml\10207.jpg,pseudoscan,Buddleja davidii
imageclef2012/FourniApresCLEF2012/data/testwithgroundtruthxml\10214.jpg,Scan,Phillyrea angustifolia
