image_path,image_type,class
imageclef2012/FourniApresCLEF2012/data/train\0.jpg,Scan,Viburnum opulus
imageclef2012/FourniApresCLEF2012/data/train\1.jpg,Scan,Crataegus monogyna
imageclef2012/FourniApresCLEF2012/data/train\10.jpg,Scan,Rhamnus cathartica
imageclef2012/FourniApresCLEF2012/data/train\100.jpg,Scan,Platanus x hispanica
imageclef2012/FourniApresCLEF2012/data/train\1000.jpg,Scan,Platanus x hispanica
imageclef2012/FourniApresCLEF2012/data/train\10000.jpg,Scan,Crataegus monogyna
imageclef2012/FourniApresCLEF2012/data/train\10002.jpg,Scan,Ulmus minor
imageclef2012/FourniApresCLEF2012/data/train\10003.jpg,Scan,Paliurus spina-christi
imageclef2012/FourniApresCLEF2012/data/train\10004.jpg,Scan,Prunus serotina
imageclef2012/FourniApresCLEF2012/data/train\10005.jpg,Scan,Buxus sempervirens
imageclef2012/FourniApresCLEF2012/data/train\10006.jpg,pseudoscan,Ilex aquifolium
imageclef2012/FourniApresCLEF2012/data/train\10007.jpg,pseudoscan,Fraxinus angustifolia
imageclef2012/FourniApresCLEF2012/data/train\10009.jpg,Scan,Ginkgo biloba
imageclef2012/FourniApresCLEF2012/data/train\1001.jpg,Scan,Pistacia terebinthus
imageclef2012/FourniApresCLEF2012/data/train\10010.jpg,photograph,Celtis australis
imageclef2012/FourniApresCLEF2012/data/train\10011.jpg,Scan,Quercus rubra
imageclef2012/FourniApresCLEF2012/data/train\10012.jpg,photograph,Ginkgo biloba
imageclef2012/FourniApresCLEF2012/data/train\10013.jpg,Scan,Olea europaea
imageclef2012/FourniApresCLEF2012/data/train\10014.jpg,pseudoscan,Fagus sylvatica
imageclef2012/FourniApresCLEF2012/data/train\10015.jpg,Scan,Olea europaea
imageclef2012/FourniApresCLEF2012/data/train\10016.jpg,photograph,Fraxinus ornus
imageclef2012/FourniApresCLEF2012/data/train\10017.jpg,Scan,Quercus coccifera
imageclef2012/FourniApresCLEF2012/data/train\10018.jpg,photograph,Mespilus germanica
imageclef2012/FourniApresCLEF2012/data/train\1002.jpg,Scan,Daphne cneorum
imageclef2012/FourniApresCLEF2012/data/train\10020.jpg,pseudoscan,Populus alba
