image_path,image_type,class
dataset/images/lab/abies_concolor/ny1157-01-1.jpg,lab,Abies concolor
dataset/images/lab/abies_concolor/ny1157-01-2.jpg,lab,Abies concolor
dataset/images/lab/abies_concolor/ny1157-01-3.jpg,lab,Abies concolor
dataset/images/lab/abies_concolor/ny1157-01-4.jpg,lab,Abies concolor
dataset/images/lab/abies_concolor/ny1157-02-1.jpg,lab,Abies concolor
dataset/images/lab/abies_concolor/ny1157-02-2.jpg,lab,Abies concolor
dataset/images/lab/abies_concolor/ny1157-02-3.jpg,lab,Abies concolor
dataset/images/lab/abies_concolor/ny1157-02-4.jpg,lab,Abies concolor
dataset/images/lab/abies_concolor/ny1157-03-1.jpg,lab,Abies concolor
dataset/images/lab/abies_concolor/ny1157-03-2.jpg,lab,Abies concolor
dataset/images/lab/abies_concolor/ny1157-03-3.jpg,lab,Abies concolor
dataset/images/lab/abies_concolor/ny1157-03-4.jpg,lab,Abies concolor
dataset/images/lab/abies_concolor/ny1157-04-1.jpg,lab,Abies concolor
dataset/images/lab/abies_concolor/ny1157-04-2.jpg,lab,Abies concolor
dataset/images/lab/abies_concolor/ny1157-04-3.jpg,lab,Abies concolor
dataset/images/lab/abies_concolor/ny1157-04-4.jpg,lab,Abies concolor
dataset/images/lab/abies_concolor/ny1157-05-1.jpg,lab,Abies concolor
dataset/images/lab/abies_concolor/ny1157-05-2.jpg,lab,Abies concolor
dataset/images/lab/abies_concolor/ny1157-05-3.jpg,lab,Abies concolor
dataset/images/lab/abies_concolor/ny1157-05-4.jpg,lab,Abies concolor
dataset/images/lab/abies_concolor/ny1157-06-1.jpg,lab,Abies concolor
dataset/images/lab/abies_concolor/ny1157-06-2.jpg,lab,Abies concolor
dataset/images/lab/abies_concolor/ny1157-06-3.jpg,lab,Abies concolor
dataset/images/lab/abies_concolor/ny1157-06-4.jpg,lab,Abies concolor
dataset/images/lab/abies_concolor/ny1157-07-1.jpg,lab,Abies concolor
dataset/images/lab/abies_concolor/ny1157-07-2.jpg,lab,Abies concolor
dataset/images/lab/abies_concolor/ny1157-07-3.jpg,lab,Abies concolor
dataset/images/lab/abies_concolor/ny1157-07-4.jpg,lab,Abies concolor
dataset/images/lab/abies_concolor/ny1157-08-1.jpg,lab,Abies concolor
dataset/images/lab/abies_concolor/ny1157-08-2.jpg,lab,Abies concolor
dataset/images/lab/abies_concolor/ny1157-08-3.jpg,lab,Abies concolor
dataset/images/lab/abies_concolor/ny1157-08-4.jpg,lab,Abies concolor
dataset/images/lab/abies_concolor/ny1157-09-1.jpg,lab,Abies concolor
